Avg Sale To List	Avg Sale To List Mom	Avg Sale To List Yoy	City	Homes Sold	Homes Sold Mom	Homes Sold Yoy	Inventory	Inventory Mom	Inventory Yoy	Median Dom	Median Dom Mom	Median Dom Yoy	Median List Ppsf	Median List Ppsf Mom	Median List Ppsf Yoy	Median List Price	Median List Price Mom	Median List Price Yoy	Median Ppsf	Median Ppsf Mom	Median Ppsf Yoy	Median Sale Price	Median Sale Price Mom	Median Sale Price Yoy	months_of_supply	months_of_supply_mom	months_of_supply_yoy	New Listings	New Listings Mom	New Listings Yoy	Period Begin	Period Duration	Period End	Price Drops	Price Drops Mom	Price Drops Yoy	Property Type	Region	Region Type	Sold Above List	Sold Above List Mom	Sold Above List Yoy	State	State Code	Table Id
0.951138635	-0.80%	-2.40%	San Diego	34	13.30%	21.40%	32	28.00%	-30.40%	38	-1	2	243.8514475	-0.087345337	-0.063610442	379950	0.064285714	0.027169505	260.3711461	0.02997215	-0.061588899	$326K	-2.80%	-10.70%				46	4.50%	-6.10%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Allied Gardens"	neighborhood	0.176470588	-0.056862745	-0.00210084	California	CA	37
0.965451978	2.30%	0.30%	San Diego	3	50.00%	-40.00%	6	-45.50%	-25.00%	86	-416.5	72	203.2738095	0.088814927	0.234984277	199500	-0.013353116	-0.132608696	137.4558304	0.293256436	0.02146864	$195K	-10.50%	-32.20%				7	-30.00%	0.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Hollywood Park / Azalea"	neighborhood	0.666666667	0.666666667	0.466666667	California	CA	110
0.960865521	-0.50%	-0.10%	San Diego	33	-2.90%	57.10%	26	0.00%	-23.50%	70	7	5	289.8887451	0.055691186	0.021628967	399900	0.055145119	-0.042155689	263.5599694	0.091691366	-0.097255223	$360K	1.80%	-5.50%				37	12.10%	-9.80%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Bay Ho"	neighborhood	0.151515152	0.004456328	0.151515152	California	CA	149
0.959962106	-0.60%	-1.20%	San Diego	53	12.80%	60.60%	35	-20.50%	-28.60%	47.5	5	-12	317.774432	0.082747613	0.052170228	454500	0.012249443	-0.14245283	274.0820734	0	-0.064305888	$434K	0.00%	-13.00%				50	-3.80%	-16.70%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Bay Park"	neighborhood	0.094339623	-0.118426335	-0.057175529	California	CA	151
0.957812209	0.00%	1.90%	San Diego	61	0.00%	22.00%	93	-1.10%	-19.10%	83.5	-10.5	-32.5	276.7321274	0.043634905	-0.005756813	860900	0.077944031	-0.117025641	258.3358366	0.104010698	0.004871178	$718K	1.60%	-13.90%				101	26.30%	11.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Black Mountain Ranch"	neighborhood	0.147540984	-0.016393443	0.027540984	California	CA	224
0.979455499	0.40%	1.10%	San Diego	32	14.30%	33.30%	20	-4.80%	-35.50%	64	27.5	29	277.1361055	0.000239263	-0.039133641	479500	-0.006217617	-0.095283019	258.1583081	0.013166633	-0.04752104	$463K	0.70%	-1.60%				38	5.60%	-2.60%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Carmel Mountain"	neighborhood	0.125	0.089285714	0	California	CA	370
0.966143036	0.30%	-0.20%	San Diego	138	-8.00%	7.00%	169	1.20%	-23.90%	67	-2	-1	336.8495077	0.005329728	0.000227229	667000	-0.017673049	-0.138465513	314.7058824	0.012083539	-0.028313077	$610K	-2.60%	-10.90%				236	37.20%	6.80%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Carmel Valley"	neighborhood	0.101449275	-0.005217391	0.039433771	California	CA	371
0.972488862	-0.70%	0.10%	San Diego	18	-25.00%	-30.80%	25	47.10%	-16.70%	49.5	3.5	19	255.7748538	0	-0.054171847	399900	-0.015024631	-0.049170194	287.433045	0.068574046	0.10379132	$412K	6.50%	-2.50%				39	56.00%	-2.50%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Clairemont Mesa West"	neighborhood	0.277777778	-0.013888889	0.200854701	California	CA	519
0.957281505	-0.40%	-0.50%	San Diego	24	-7.70%	100.00%	24	4.30%	-33.30%	69	-15.5	-4.5	228.5368896	0.033359567	-0.140075012	517500	0.061756258	-0.040244807	226.4908934	0.237655445	-0.046381536	$453K	9.00%	-2.20%				32	23.10%	14.30%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Del Cerro"	neighborhood	0.041666667	-0.150641026	-0.375	California	CA	674
0.968863169	0.00%	1.20%	San Diego	39	-15.20%	-38.10%	35	-16.70%	-56.30%	24	-21	-63	341.1967029	-0.033636057	-0.023402102	341249.5	-0.001026054	0.051616333	338.2949932	0.004677575	-0.047213005	$300K	-5.20%	-7.70%				78	18.20%	-16.10%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - East Village"	neighborhood	0.153846154	-0.02006689	-0.004884005	California	CA	850
0.978418831	-1.40%	-2.40%	San Diego	15	-28.60%	25.00%	11	-31.30%	-31.30%	68	21	16	205.4794521	0.118083722	0.323471487	210000	0.173184358	0.273113065	173.553719	-0.130404524	0.205274244	$205K	-12.80%	44.60%				23	9.50%	15.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - El Cerrito"	neighborhood	0.2	-0.133333333	-0.3	California	CA	871
0.975738162	0.80%	-3.10%	San Diego	44	7.30%	10.00%	35	-14.60%	-37.50%	44.5	1.5	-28	151.9150861	0.031563139	-0.087430854	229000	0.020271775	0.008810573	137.3626374	-0.062314931	-0.119987498	$182K	-11.70%	-15.00%				63	6.80%	31.30%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Encanto"	neighborhood	0.386363636	0.044900222	-0.113636364	California	CA	898
0.952217743	0.80%	-0.40%	San Diego	12	33.30%	0.00%	19	5.60%	-29.60%	109	21	-65.5	402.2192906	0.142338314	0.010123059	814250	0.177087098	0.170740474	339.3121551	-0.007769547	-7.16E-05	$635K	-5.90%	0.30%				20	42.90%	-25.90%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Roseville-Fleet Ridge"	neighborhood	0.083333333	-0.027777778	-0.083333333	California	CA	985
1.005105706	1.80%	4.20%	San Diego	19	26.70%	-17.40%	24	0.00%	-11.10%	83	21	7	228.8089226	0.027202709	0.011576289	285000	0.244541485	0.14	209.3220339	-0.116195857	-0.035789615	$340K	44.70%	71.70%				27	17.40%	8.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Golden Hill"	neighborhood	0.368421053	0.235087719	0.151029748	California	CA	1115
1.088190186	1.60%	16.40%	San Diego	3	-40.00%	-40.00%	8	0.00%	14.30%	8	0	-79	167.2520661	0.070004469	-0.059434173	175000	0.12939658	-0.038197307	155.2631579	-0.076521739	0.100956938	$177K	0.00%	1.10%				9	12.50%	125.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Grant Hill"	neighborhood	1	0.2	1	California	CA	1134
0.9667024	-0.90%	0.40%	San Diego	51	30.80%	-3.80%	62	8.80%	-44.10%	65	-11	4	360.3561387	-0.005982953	-0.010384444	399000	0.058355438	-0.077349983	297.9066023	0.05135337	-0.119408281	$330K	9.80%	-22.50%				84	37.70%	-16.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Hillcrest"	neighborhood	0.137254902	-0.016591252	0.080651128	California	CA	1262
0.984198277	0.10%	-0.80%	San Diego	9	-40.00%	12.50%	7	16.70%	-53.30%	98	26	42.5	234.9837662	0.019618141	-0.004842787	309900	0.070466321	-0.059484067	234.7826087	0.023083004	-0.105098121	$322K	0.00%	-0.90%				9	80.00%	12.50%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Kearny Mesa"	neighborhood	0.222222222	0.022222222	-0.027777778	California	CA	1410
0.961857661	-2.00%	-0.30%	San Diego	17	0.00%	13.30%	24	41.20%	-27.30%	12.5	2.5	-34	405.6768559	0.005254314	0.004794566	660000	0.008403361	0.049284579	315.7216495	0.093357799	-0.174387887	$595K	4.60%	-4.80%				31	29.20%	6.90%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Kensington"	neighborhood	0	-0.176470588	-0.066666667	California	CA	1416
0.940538789	0.30%	0.10%	San Diego	135	-1.50%	4.70%	329	-0.60%	-20.70%	108	-26.5	29.5	518.6835714	0.063500416	0.024067564	999999.5	0.056523508	0.004582405	455.7522124	0.118510918	0.057814577	$950K	21.80%	17.30%				291	26.00%	-11.30%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - La Jolla"	neighborhood	0.088888889	0.008596918	0.026873385	California	CA	1445
0.954846866	0.40%	0.10%	San Diego	42	13.50%	0.00%	30	-6.30%	-55.20%	38	-3	-34.5	231.8451404	-0.021340749	-0.019043061	377000	-0.007633588	0.033018222	214.552027	-0.032565405	-0.040780923	$347K	2.80%	10.90%				58	18.40%	-12.10%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Lake Murray"	neighborhood	0.047619048	-0.033462033	-0.047619048	California	CA	1458
